0,15751,1062,5497,12427,6602,10493,10151,2556,10672,2893,1544,1807,7367,14114,13811,902,12248,12733,11912,8022,3163,10679,3643,2850,8215,902,12238,13628,15198,15576,2258,10632,1902,11517,12159,15259,7498,10197,7370,3957,10262,12083,14888,11582,11244,8333,12472,12656,9932,6451,11334,12993,1599,10527,10157,15278,10274,3292,10751,900,6539,9425,2644,10454,7376,1765,5476,12744,1927,11158,4217,12460,13232,4404,12018,11070,6714,7757,6286,10385,8178,3500,9635,9683,3952,2232,2897,6991,17544,2324,7391,32014,13595,1036,12029,36699,8837,11272,10810
16749,0,18050,10352,5132,9327,6665,6642,17070,6140,15258,17333,13623,20986,3243,3061,16134,4952,3881,4617,8141,19241,7145,11298,13425,8636,15815,4942,3175,380,1441,18071,6100,16415,4881,3574,441,21117,5317,20989,11340,7323,5477,1730,4240,4945,8754,5011,5604,6643,20070,4049,2879,15195,10072,10774,2120,7335,18777,7242,16174,12383,8011,15677,8249,20995,14445,10332,5448,17272,3700,14967,5164,4081,20634,4786,5085,20333,13984,19905,7184,9541,19318,9281,8643,14702,16746,17410,9094,1702,18814,21010,13817,2487,16825,4733,9818,22456,3987,6024
1154,16466,0,4096,13142,7317,11208,10866,1806,11486,1828,1579,2166,5001,13678,14526,1744,12963,12839,12627,8737,2527,9867,4340,3213,8930,2064,12953,14343,15913,16291,1370,11445,2091,12396,13102,15974,4605,10912,7154,4654,9449,11691,15603,12297,12198,9048,11660,11844,10647,3840,12049,13708,536,9715,9345,15993,9462,2404,11466,1719,5138,10140,1579,11169,6941,1531,4076,13459,1284,11873,2865,13175,13947,3533,12629,11785,6636,6945,3439,9573,6035,2628,10774,8871,2601,2140,2261,5590,18259,1512,6667,16663,14310,1705,12744,20964,4610,11987,11525
4979,14142,4288,0,10818,4349,8884,8542,6804,4742,2789,6188,3853,9872,11635,12122,5570,10639,6422,10303,6413,8193,3584,2363,3186,4861,5888,10629,12224,13589,13113,6104,4702,6546,5711,6685,13650,8433,5257,10017,2676,3488,4947,13279,9973,5514,4830,9617,5186,8323,8167,9725,11384,3620,3059,2645,13669,3500,6434,9142,5544,1764,7816,3202,6224,9803,4110,701,11135,5031,9549,1391,10851,11623,8452,6212,5653,9499,4902,8291,3625,3875,7865,4027,2873,1960,5885,7851,1827,12785,3920,9529,10702,11986,5680,10420,15002,9271,9663,9201
13920,5542,15222,10733,0,6498,1284,2300,14241,4968,12430,14505,10795,18158,1905,1602,13305,273,2986,1078,5313,16413,6473,8470,10597,5808,12987,964,1419,3271,2579,15243,4928,13587,3693,2386,3332,18289,4128,18160,8511,6650,4306,1808,2066,3757,5926,4339,4931,2405,17242,992,784,12367,7244,7946,1136,6663,15949,1645,13346,9555,3017,12849,3223,18167,11617,10712,535,14444,1542,12139,781,1023,17805,3598,3896,17505,13312,17077,6511,6713,16490,6453,7971,11874,13918,14582,9851,3164,15985,18182,13145,1432,13997,756,9172,19628,930,1143
8009,10086,9311,4234,6763,0,4828,4486,8330,5007,6519,8594,4277,12247,8449,8147,7394,6583,7068,6247,1845,10502,4720,1968,3274,2038,7076,6573,7964,9533,9912,9332,4967,7676,5853,6495,9594,12378,4532,12250,2013,5014,6419,9223,5918,5579,2156,7131,6754,4268,11331,5669,7328,5852,4196,2882,9613,5026,10038,5086,7435,3057,3761,6938,4790,12256,5111,4214,7079,8533,5494,4595,6795,7568,11894,6353,5406,11594,8548,11166,4759,1533,10579,3458,4010,5963,8007,8671,3353,11880,10075,12271,12227,7931,8086,6364,16528,13717,5607,5146
11958,6527,13259,8770,1284,4536,0,1278,12279,4196,10467,12543,8833,16195,3197,2894,11343,1237,2776,1287,3351,14450,5464,6507,8635,3606,11025,992,2711,5974,3871,13281,4155,11625,2645,2203,6035,16327,3082,16198,6549,5857,3535,5664,1625,2710,3963,3330,3923,1383,15279,1075,2092,10404,5281,5726,2699,5869,13987,971,11384,7593,1995,10887,2232,16204,9654,8750,749,12481,1201,10177,1877,1107,15843,2551,2849,15543,13278,15114,5503,4493,14527,4490,6347,9911,11955,12619,7889,8320,14023,16219,12136,4371,12035,1413,16437,17666,1013,316
11864,7217,13165,6674,2408,4442,1407,0,12185,2917,10373,12449,8739,16102,2942,2639,11249,2644,2583,2601,2408,14357,4186,4829,8541,2328,10931,2399,2368,6664,3616,13187,2877,11531,1367,2008,6725,16233,1802,16104,5142,4775,2256,3241,1447,1431,2446,2645,2644,351,15185,1615,2153,10310,3748,4445,2439,4787,13893,1032,11290,5918,991,10793,954,16110,9560,6653,1871,12387,1007,10083,3926,1951,15749,1866,1570,15449,11437,15021,4224,3281,14433,2942,5068,9818,11861,12526,6214,4201,13929,16125,10858,5062,11941,3495,15158,17572,1553,1438
2369,17643,2207,6742,14320,8494,12385,12043,0,11321,2817,1492,3824,3316,13514,15704,3109,14140,12675,13804,9914,1004,9702,7098,4985,10107,2791,14130,15521,17090,17469,1002,11281,885,12232,12938,17151,2921,11836,4866,6818,9285,11527,16780,13475,12034,10225,11496,11680,11825,2156,13226,14885,2193,9550,9181,17170,9297,1708,12643,2121,9590,11318,2567,12347,4873,3188,6721,14636,880,13051,3805,14352,15125,1848,12464,12963,4211,6780,1754,9409,10071,944,10610,8706,3540,932,1053,9122,19437,1750,3340,29511,15488,1617,13921,20799,2926,13164,12703
9964,7273,9273,3891,5247,4510,4246,3271,10443,0,8045,10810,8838,13511,3508,4023,11750,6316,2507,5980,3171,11831,1268,5592,8594,3090,11432,5238,3425,8352,5655,9743,787,11327,1797,2770,6529,12072,1342,13655,5905,1558,1033,5684,3447,1599,2737,1978,1272,2865,11805,4454,4992,8605,1766,2299,4809,1570,10073,3871,10950,3034,2707,8464,2204,13442,9095,3871,4710,10514,3849,7025,6528,4790,12090,2297,1738,13138,8541,11930,1307,3373,11504,1440,2151,6946,11374,11490,3265,5327,9700,13168,7646,7663,10936,6097,11947,12910,4392,4277
